year,sport,country,countrycode,numeric,number_of_athletes,Bronze_medal_count,Silver_medal_count,Gold_medal_count,medal_count
1948,Cycling,Venezuela,VEN,862,2,0,0,0,0
1948,Cycling,South Africa,ZAF,710,6,0,0,0,0
1948,Diving,Australia,AUS,036,1,0,0,0,0
1948,Diving,Austria,AUT,040,8,0,0,0,0
1948,Diving,Bermuda,BMU,060,1,0,0,0,0
1948,Diving,Brazil,BRA,076,3,0,0,0,0
1948,Diving,Canada,CAN,124,2,0,0,0,0
1948,Diving,Switzerland,CHE,756,3,0,0,0,0
1948,Diving,Chile,CHL,152,1,0,0,0,0
1948,Diving,Cuba,CUB,192,1,0,0,0,0
1948,Diving,Denmark,DNK,208,5,1,0,0,1
1948,Diving,Egypt,EGY,818,6,0,0,0,0
1948,Diving,Finland,FIN,246,1,0,0,0,0
1948,Diving,France,FRA,250,9,0,0,0,0
1948,Diving,United Kingdom,GBR,826,12,0,0,0,0
1948,Diving,Hungary,HUN,348,2,0,0,0,0
1948,Diving,Ireland,IRL,372,1,0,0,0,0
1948,Diving,Mexico,MEX,484,7,1,0,0,1
1948,Diving,Netherlands,NLD,528,2,0,0,0,0
1948,Diving,Norway,NOR,578,3,0,0,0,0
1948,Diving,Sweden,SWE,752,3,0,0,0,0
1948,Diving,Syria,SYR,760,1,0,0,0,0
1948,Diving,United States,USA,840,11,2,4,4,10
1948,Diving,South Africa,ZAF,710,1,0,0,0,0
1948,Equestrianism,Argentina,ARG,032,18,0,0,0,0
1948,Equestrianism,Austria,AUT,040,2,0,0,0,0
1948,Equestrianism,Brazil,BRA,076,12,0,0,0,0
1948,Equestrianism,Switzerland,CHE,756,7,0,0,1,1
1948,Equestrianism,Denmark,DNK,208,12,0,0,0,0
1948,Equestrianism,Spain,ESP,724,13,0,3,0,3
1948,Equestrianism,Finland,FIN,246,8,0,0,0,0
1948,Equestrianism,France,FRA,250,18,1,1,4,6
1948,Equestrianism,United Kingdom,GBR,826,12,3,0,0,3
1948,Equestrianism,Ireland,IRL,372,6,0,0,0,0
1948,Equestrianism,Italy,ITA,380,12,0,0,0,0
1948,Equestrianism,Mexico,MEX,484,13,3,1,4,8
1948,Equestrianism,Netherlands,NLD,528,8,0,0,0,0
1948,Equestrianism,Portugal,PRT,620,18,3,0,0,3
1948,Equestrianism,Sweden,SWE,752,18,2,3,0,5
1948,Equestrianism,Turkey,TUR,792,12,0,0,0,0
1948,Equestrianism,United States,USA,840,18,0,4,3,7
1948,Fencing,Argentina,ARG,032,28,0,0,0,0
1948,Fencing,Austria,AUT,040,10,1,0,0,1
1948,Fencing,Belgium,BEL,056,27,6,0,0,6
1948,Fencing,Brazil,BRA,076,11,0,0,0,0
1948,Fencing,Canada,CAN,124,21,0,0,0,0
1948,Fencing,Switzerland,CHE,756,27,0,1,0,1
1948,Fencing,Chile,CHL,152,5,0,0,0,0
1948,Fencing,Colombia,COL,170,3,0,0,0,0
1948,Fencing,Cuba,CUB,192,11,0,0,0,0
